_g_bid,10193438,f,
_g_chargeid,10193440,f,
APHeapInit,10193448,f,
heap_init,10193450,f,
heap_get_info,10193458,f,
heap_get_block_size,10193460,f,
malloc,10193468,minisys,
calloc,10193470,minisys,
realloc,10193478,minisys,
free,10193480,minisys,
OSMalloc,10193488,f,
OSFree,10193490,f,
fsys_fopen,10193498,f,
fsys_fclose,101934A0,f,
fsys_fseek,101934A8,f,
fsys_ftell,101934B0,f,
fsys_fread,101934B8,f,
fsys_fwrite,101934C0,f,
fsys_CardFSInit,101934C8,f,
fsys_get_free,101934D0,f,
fsys_fopenW,101934D8,f,
fsys_fcloseW,101934E0,f,
fsys_init,101934E8,f,
fsys_findfirst,101934F0,f,
fsys_findfirstW,101934F8,f,
fsys_findnext,10193500,f,
fsys_findnextW,10193508,f,
fsys_findclose,10193510,f,
fsys_findcloseW,10193518,f,
fsys_remove,10193520,f,
fsys_removeW,10193528,f,
fsys_mkdir,10193530,f,
fsys_mkdirW,10193538,f,
fsys_update,10193540,f,
fsys_feof,10193548,f,
fsys_ferror,10193550,f,
fsys_clearerr,10193558,f,
fsys_chdir,10193560,f,
fsys_chdirW,10193568,f,
fsys_rmdir,10193570,f,
fsys_rmdirW,10193578,f,
fsys_rename,10193580,f,
fsys_renameW,10193588,f,
fsys_CardCheck,10193590,f,
fsys_IsCardReady,10193598,f,
fsys_CardFormat,101935A0,f,
fsys_IsWriteProtected,101935A8,f,
fsys_format,101935B0,f,
fsys_getfn,101935B8,f,
fsys_getfnW,101935C0,f,
fsys_flush_cache,101935C8,f,
fsys_RefreshCache,101935D0,f,
fsys_abs_read,101935D8,f,
fsys_access,101935E0,f,
fsys_accessW,101935E8,f,
fsys_chmod,101935F0,f,
fsys_chmodW,101935F8,f,
fsys_stat,10193600,f,
fsys_statW,10193608,f,
SD_IsCardReady,10193610,f,
MapUnicodeToGBK,10193618,f,
nftl_read,10193620,f,
nftl_io_ctl,10193628,f,
waveout_write,10193630,f,
waveout_open,10193638,f,
waveout_close,10193640,f,
get_current_language,10193648,f,
get_dl_handle,10193650,minisys,
dl_res_open,10193658,f,
dl_res_close,10193660,f,
dl_res_get_size,10193668,f,
dl_res_get_data,10193670,f,
kbd_get_status,10193678,f,
rmt_get_status,10193680,f,
cc1800_tvout_enter,10193688,f,
cc1800_tvout_exit,10193690,f,
GetPrivateProfileString,10193698,f,
GetPrivateProfileInt,101936A0,f,
FreeProfile,101936A8,f,
_tcscpy,101936B0,f,
_tcscat,101936B8,f,
_tcscmp,101936C0,f,
_wcsicmp,101936C8,f,
_tcschr,101936D0,f,
_tcslen,101936D8,f,
_tcsncpy,101936E0,f,
__to_unicode_le,101936E8,f,
__to_locale_ansi,101936F0,minisys,
SetCodePage,101936F8,f,
VGL_GetStr,10193700,f,
VGL_ClosePack,10193708,f,
VGL_OpenPack,10193710,f,
VGL_MemFunc,10193718,f,
BMF_GetStringWidthW,10193720,f,
BMF_GetFontDistY,10193728,f,
BMF_DispStringW,10193730,f,
BMF_SetMode,10193738,f,
BMF_SetSize,10193740,f,
BMF_Init,10193748,f,
GetCodePage,10193750,f,
BMF_GetCharDistXA,10193758,f,
GetCPCharSize,10193760,f,
BMF_GetStringWidthA,10193768,f,
BMF_DispStringA,10193770,f,
BMF_DispCharA,10193778,f,
BMF_DispStringAtExA,10193780,f,
BMF_SelectPixelFunc,10193788,f,
BMF_DrawString2LcdA,10193790,f,
BMF_DrawString2LcdW,10193798,f,
draw_sub_string,101937A0,f,
GL_LoadPngW,101937A8,f,
GL_LoadPngEx,101937B0,f,
GL_LoadPngWEx,101937B8,f,
jpg_open,101937C0,f,
jpg_openW,101937C8,f,
jpg_get_info,101937D0,f,
jpg_set_progress_callback,101937D8,f,
jpg_decode,101937E0,f,
jpg_close,101937E8,f,
jpg_closeW,101937F0,f,
jpeg_exit,101937F8,f,
jfopen,10193800,f,
jfopenW,10193808,f,
jfseek,10193810,f,
jfread,10193818,f,
jfwrite,10193820,f,
jfclose,10193828,f,
jfcloseW,10193830,f,
jfdelete,10193838,f,
jmalloc,10193840,f,
jfree,10193848,f,
GetPicNail,10193850,f,
DataVDelet,10193858,f,
OSEventNameGet,10193860,f,
OSEventNameSet,10193868,f,
OSEventPendMulti,10193870,f,
OSFlagAccept,10193878,f,
OSFlagCreate,10193880,f,
OSFlagDel,10193888,f,
OSFlagNameGet,10193890,f,
OSFlagNameSet,10193898,f,
OSFlagPend,101938A0,f,
OSFlagPendGetFlagsRdy,101938A8,f,
OSFlagPost,101938B0,f,
OSFlagQuery,101938B8,f,
OSMboxAccept,101938C0,f,
OSMboxCreate,101938C8,f,
OSMboxDel,101938D0,f,
OSMboxPend,101938D8,f,
OSMboxPendAbort,101938E0,f,
OSMboxPost,101938E8,f,
OSMboxPostOpt,101938F0,f,
OSMboxQuery,101938F8,f,
OSMemCreate,10193900,f,
OSMemGet,10193908,f,
OSMemNameGet,10193910,f,
OSMemNameSet,10193918,f,
OSMemPut,10193920,f,
OSMemQuery,10193928,f,
OSMutexAccept,10193930,f,
OSMutexCreate,10193938,f,
OSMutexDel,10193940,f,
OSMutexPend,10193948,f,
OSMutexPost,10193950,f,
OSMutexQuery,10193958,f,
OSQAccept,10193960,f,
OSQCreate,10193968,f,
OSQDel,10193970,f,
OSQFlush,10193978,f,
OSQPend,10193980,f,
OSQPendAbort,10193988,f,
OSQPost,10193990,f,
OSQPostFront,10193998,f,
OSQPostOpt,101939A0,f,
OSQQuery,101939A8,f,
OSSemAccept,101939B0,f,
OSSemCreate,101939B8,f,
OSSemDel,101939C0,f,
OSSemPend,101939C8,f,
OSSemPendAbort,101939D0,f,
OSSemPost,101939D8,f,
OSSemQuery,101939E0,f,
OSSemSet,101939E8,f,
OSTaskChangePrio,101939F0,f,
OSTaskCreate,101939F8,f,
OSTaskCreateExt,10193A00,f,
OSTaskDel,10193A08,f,
OSTaskDelReq,10193A10,f,
OSTaskNameGet,10193A18,f,
OSTaskNameSet,10193A20,f,
OSTaskResume,10193A28,f,
OSTaskSuspend,10193A30,f,
OSTaskStkChk,10193A38,f,
OSTaskQuery,10193A40,f,
OSTimeDly,10193A48,f,
OSTimeDlyHMSM,10193A50,f,
OSTimeDlyResume,10193A58,f,
OSTimeGet,10193A60,f,
OSTimeSet,10193A68,f,
OSTimeTick,10193A70,f,
OSInit,10193A78,f,
OSIntEnter,10193A80,f,
OSIntExit,10193A88,f,
OSSchedLock,10193A90,f,
OSSchedUnlock,10193A98,f,
OSStart,10193AA0,f,
OSStatInit,10193AA8,f,
OSVersion,10193AB0,f,
OSTimerGetTickTimeus,10193AB8,f,
DVCRegisterClass,10193AC0,f,
DVCDeregisterClass,10193AC8,f,
DVCOpenClass,10193AD0,f,
DVCCloseClass,10193AD8,f,
DVCMountDevice,10193AE0,f,
DVCUnmountDevice,10193AE8,f,
DVCInitClass,10193AF0,f,
DVCOpenDevice,10193AF8,f,
DVCCloseDevice,10193B00,f,
DVCReadDevice,10193B08,f,
DVCWriteDevice,10193B10,f,
DVCControlDevice,10193B18,f,
printf,10193B20,minisys,ccpmp.bin
consoleEnable,10193B28,f,
consoleDisable,10193B30,f,
stricmp,10193B38,f,
strnicmp,10193B40,f,
dl_load,10193B48,f,
dl_get_proc,10193B50,minisys,ccpmp.bin
dl_free,10193B58,f,
GetDLHandle,10193B60,minisys,ccpmp.bin
GAMInit,10193B68,f,
GAMExit,10193B70,f,
GUI_MEMDEV_CopyToLCD,10193B78,f,
GUI_getpng_width,10193B80,f,
GUI_getpng_data,10193B88,f,
GUI_BMP_Quick_Draw,10193B90,f,
GUI_BMP_Quick_Draw_Ex,10193B98,f,
GUI_DC_Init,10193BA0,f,
GUI_Create_BMP_DC,10193BA8,f,
GUI_Clear_BMP_DC,10193BB0,f,
GUI_Release_BMP_DC,10193BB8,f,
GUI_Set_BMP_MaskDC,10193BC0,f,
LCD_DrawPixel,10193BC8,f,
GUI_BMP_Quick_Draw_part,10193BD0,f,
GUI_BMP_Quick_Draw_part_ex,10193BD8,f,
GUI_DrawBMP_ToDC,10193BE0,f,
GUI_DrawBMP_Transparent_ToDC,10193BE8,f,
GUI_SelectDCObject,10193BF0,f,
GUI_DrawPixel_fun,10193BF8,f,
GUI_DrawHLine_ToDC,10193C00,f,
GUI_DrawPixel_ToDC_NoColor,10193C08,f,
GL_GetDisplayMem,10193C10,f,
GL_BMP_copyfromlcd,10193C18,f,
GUI_BMP_CopyToLcd,10193C20,f,
GUI_BMP_GetCurDC,10193C28,f,
GUI_BMP_WriteAt,10193C30,f,
GUI_Clear_lcd,10193C38,f,
GUI_Clear_all,10193C40,f,
GUI_BMP_show_png_alpha,10193C48,f,
GUI_MEMDEV_draw_alpha_png_ex,10193C50,f,
GUI_MEMDEV_draw_alpha_png,10193C58,f,
GUI_BMP_GET_16_XSIZE,10193C60,f,
GUI_BMP_GET_16_YSIZE,10193C68,f,
GUI_BMP_MallocFree,10193C70,f,
GUI_LCD_draw_alpha_png,10193C78,f,
GUI_LCD_draw_a2a,10193C80,f,
GUI_LCD_draw_alpha_png_ex,10193C88,f,
GUI_Clear_Alpha_DC,10193C90,f,
GUI_Clear_Alpha_DC_Part,10193C98,f,
GUI_LCD_Fill_Rect,10193CA0,f,
IISInit,10193CA8,f,
fh_png_load_rgba,10193CB0,f,
GL_LoadPng,10193CB8,f,
RotateDisplayPic,10193CC0,f,
SetYUVLogoFile,10193CC8,f,
SaveYUVLogoFile,10193CD0,f,
GetMyPrioFlag,10193CD8,f,
SetMyPrioFlag,10193CE0,f,
TV_or_Screen,10193CE8,f,
isTVON,10193CF0,f,
TVOUTInit,10193CF8,f,
OSTmrDel,10193D00,f,
OSTmrCreate,10193D08,f,
OSTmrStart,10193D10,f,
OSTmrStop,10193D18,f,
KBDGetSKey,10193D20,f,
KBDOpenGuiKeyMsg,10193D28,f,
KBDCloseGuiKeyMsg,10193D30,f,
KBDGetLockStatus,10193D38,f,
SetCloseBkLight,10193D40,f,
GetCloseBkLightTime,10193D48,f,
SetShutDownTime,10193D50,f,
SetShutDownTimeEx,10193D58,f,
SetCloseKeyLedTime,10193D60,f,
sys_amp_enable,10193D68,f,
sys_get_voltage,10193D70,f,
ReFreshBatteryStatus,10193D78,f,
SD_Init,10193D80,f,
SD_IsCardExist,10193D88,f,
sys_get_charge_state,10193D90,f,
pm_set_module_status,10193D98,f,
SysEnableShutDownPower,10193DA0,f,
SysDisableShutDownPower,10193DA8,f,
SysDisableCloseBkLight,10193DB0,f,
sys_disable_soft_poweroff,10193DB8,f,
low_bat_detect,10193DC0,f,
Sleep,10193DC8,f,
SysDisableBkLight,10193DD0,f,
sys_enable_soft_poweroff,10193DD8,f,
SysDirCreate,10193DE0,f,
GetCcpmpConfig,10193DE8,f,
SysSetLastBrightness,10193DF0,f,
clearBkLightCounter,10193DF8,f,
sys_judge_event,10193E00,f,
SYSSetRecordVol,10193E08,f,
IsUSBChargeCalbeIn,10193E10,f,
IsDCChargeCalbeIn,10193E18,f,
udelay,10193E20,f,
sys_battery_detect_reset,10193E28,f,
sys_set_voltage_detect_flag,10193E30,f,
sys_get_key_power_off,10193E38,f,
low_format,10193E40,f,
getBkLightStates,10193E48,f,
IsLowBatt,10193E50,f,
SysEnableSleepOff,10193E58,f,
SysDisableSleepOff,10193E60,f,
SysSetSoftLockTime,10193E68,f,
SysSetSoftLockEnable,10193E70,f,
SysSetScreenSaverType,10193E78,f,
LCD_L0_SetPixelIndex,10193E80,f,
LCD_GetXSize,10193E88,f,
LCD_GetYSize,10193E90,f,
LCD_SetColor,10193E98,f,
LCD_GetBkColorIndex,10193EA0,f,
LCD_GetpPalConvTable,10193EA8,f,
LCD_SetColorIndex,10193EB0,f,
LCD_DrawHLine,10193EB8,f,
LCD_FillRect,10193EC0,f,
GUI__Read32,10193EC8,f,
GUI__Read16,10193ED0,f,
LCD_GetColorIndex,10193ED8,f,
LCD_GetPixelColor,10193EE0,f,
GUI_Init,10193EE8,f,
GUI_SetDefault,10193EF0,f,
GUI_SetDrawMode,10193EF8,f,
GUI_GetVersionString,10193F00,f,
GUI_RestoreContext,10193F08,f,
GUI_RectsIntersect,10193F10,f,
GUI_MoveRect,10193F18,f,
GUI_MergeRect,10193F20,f,
GUI__IntersectRects,10193F28,f,
GUI__IntersectRect,10193F30,f,
GUI__ReduceRect,10193F38,f,
GUI__DivideRound,10193F40,f,
GUI__DivideRound32,10193F48,f,
GUI_GetBkColor,10193F50,f,
GUI_GetColor,10193F58,f,
GUI_GetBkColorIndex,10193F60,f,
GUI_GetColorIndex,10193F68,f,
GUI_GetPenSize,10193F70,f,
GUI_GetPenShape,10193F78,f,
GUI_GetLineStyle,10193F80,f,
GUI_SetBkColor,10193F88,f,
GUI_SetColor,10193F90,f,
GUI_SetBkColorIndex,10193F98,f,
GUI_SetColorIndex,10193FA0,f,
GUI_SetPenSize,10193FA8,f,
GUI_SetPenShape,10193FB0,f,
GUI_SetLineStyle,10193FB8,f,
GUI_GetDecChar,10193FC0,f,
GUI_SetDecChar,10193FC8,f,
GUI_Color2Index,10193FD0,f,
GUI_Color2VisColor,10193FD8,f,
GUI_ColorIsAvailable,10193FE0,f,
GUI_Index2Color,10193FE8,f,
GUI_InitLUT,10193FF0,f,
GUI_SetLUTEntry,10193FF8,f,
GUI_SetLUTColor,10194000,f,
GUI_SetLUTColorEx,10194008,f,
GUI_CalcColorDist,10194010,f,
GUI_CalcVisColorError,10194018,f,
GUI_BMP_Draw,10194020,f,
GUI_BMP_GetXSize,10194028,f,
GUI_BMP_GetYSize,10194030,f,
GUI_Clear,10194038,f,
GUI_ClearRect,10194040,f,
GUI_ClearRectEx,10194048,f,
GUI_DrawArc,10194050,f,
GUI_DrawBitmap,10194058,f,
GUI_DrawBitmapMag,10194060,f,
GUI_DrawBitmapEx,10194068,f,
GUI_DrawBitmapExp,10194070,f,
GUI_DrawCircle,10194078,f,
GUI_DrawEllipse,10194080,f,
GUI_DrawGraph,10194088,f,
GUI_DrawHLine,10194090,f,
GUI_DrawLine,10194098,f,
GUI_DrawLineRel,101940A0,f,
GUI_DrawLineTo,101940A8,f,
GUI_DrawPie,101940B0,f,
GUI_DrawPixel,101940B8,f,
GUI_DrawPoint,101940C0,f,
GUI_DrawPolygon,101940C8,f,
GUI_DrawPolyLine,101940D0,f,
GUI_DrawFocusRect,101940D8,f,
GUI_DrawRect,101940E0,f,
GUI_DrawRectEx,101940E8,f,
GUI_DrawVLine,101940F0,f,
GUI_FillCircle,101940F8,f,
GUI_FillEllipse,10194100,f,
GUI_FillPolygon,10194108,f,
GUI_FillRect,10194110,f,
GUI_FillRectEx,10194118,f,
GUI_GetClientRect,10194120,f,
GUI_InvertRect,10194128,f,
GUI_MoveRel,10194130,f,
GUI_MoveTo,10194138,f,
GUI_DispCEOL,10194140,f,
GUI_DispChar,10194148,f,
GUI_DispChars,10194150,f,
GUI_DispCharAt,10194158,f,
GUI_DispStringAt,10194160,f,
GUI_GetTextExtend,10194168,f,
GUI_GetDispPosX,10194170,f,
GUI_GetDispPosY,10194178,f,
GUI_GetFont,10194180,f,
GUI_GetCharDistX,10194188,f,
GUI_GetStringDistX,10194190,f,
GUI_GetFontDistY,10194198,f,
GUI_GetFontSizeY,101941A0,f,
GUI_GetFontInfo,101941A8,f,
GUI_GetYSizeOfFont,101941B0,f,
GUI_GetYDistOfFont,101941B8,f,
GUI_GetTextAlign,101941C0,f,
GUI_GetTextMode,101941C8,f,
GUI_IsInFont,101941D0,f,
GUI_SetTextAlign,101941D8,f,
GUI_SetTextMode,101941E0,f,
GUI_SetTextStyle,101941E8,f,
GUI_SetLBorder,101941F0,f,
GUI_SetOrg,101941F8,f,
GUI_SetFont,10194200,f,
GUI_GotoXY,10194208,f,
GUI_GotoX,10194210,f,
GUI_GotoY,10194218,f,
GUI_ALLOC_GetNumFreeBytes,10194220,f,
GUI_ALLOC_AllocInit,10194228,f,
GUI_ALLOC_AllocNoInit,10194230,f,
GUI_ALLOC_AllocZero,10194238,f,
GUI_ALLOC_Free,10194240,f,
GUI_ALLOC_FreePtr,10194248,f,
GUI_ALLOC_GetSize,10194250,f,
GUI_ALLOC_GetMaxSize,10194258,f,
GUI_ALLOC_h2p,10194260,f,
GUI_ALLOC_Init,10194268,f,
GUI_ALLOC_Realloc,10194270,f,
GUI_MEMDEV_Create,10194278,f,
GUI_MEMDEV_CreateEx,10194280,f,
GUI_MEMDEV_CopyToLCDAt,10194288,f,
GUI_MEMDEV_CopyFromLCD,10194290,f,
GUI_MEMDEV_Delete,10194298,f,
GUI_MEMDEV_GetXSize,101942A0,f,
GUI_MEMDEV_GetYSize,101942A8,f,
GUI_MEMDEV_Select,101942B0,f,
GUI_MEMDEV_SetOrg,101942B8,f,
GUI_MEMDEV_WriteAt,101942C0,f,
GUI_MEMDEV_WriteAlphaAt,101942C8,f,
GUI_MEMDEV_Draw,101942D0,f,
GUI_MEMDEV_GetDataPtr,101942D8,f,
GUI_MEMDEV_Clear,101942E0,f,
GUI_SelectLCD,101942E8,f,
GUI_SelectLayer,101942F0,f,
GUI_MEASDEV_Create,101942F8,f,
GUI_MEASDEV_Delete,10194300,f,
GUI_MEASDEV_Select,10194308,f,
GUI_MEASDEV_GetRect,10194310,f,
GUI_MEASDEV_ClearRect,10194318,f,
GUI_RotatePolygon,10194320,f,
GUI_MagnifyPolygon,10194328,f,
GUI_EnlargePolygon,10194330,f,
GUI_DrawStreamedBitmap,10194338,f,
GUI_BMP_SerializeEx,10194340,f,
GUI_BMP_Serialize,10194348,f,
GUI_Delay,10194350,f,
GUI_GetTime,10194358,f,
GUI_Exec,10194360,f,
GUI_Exec1,10194368,f,
GUI_TIMER_Create,10194370,f,
GUI_TIMER_Delete,10194378,f,
GUI_TIMER_SetPeriod,10194380,f,
GUI_TIMER_SetTime,10194388,f,
GUI_TIMER_SetDelay,10194390,f,
GUI_TIMER_Restart,10194398,f,
GUI_TIMER_Exec,101943A0,f,
GUI_TIMER_Context,101943A8,f,
GUI_AA_DisableHiRes,101943B0,f,
GUI_AA_EnableHiRes,101943B8,f,
GUI_AA_GetFactor,101943C0,f,
GUI_AA_SetFactor,101943C8,f,
GUI_AA_DrawArc,101943D0,f,
GUI_AA_DrawLine,101943D8,f,
GUI_AA_DrawPolyOutline,101943E0,f,
GUI_AA_FillCircle,101943E8,f,
GUI_AA_FillPolygon,101943F0,f,
GUI_StoreKeyMsg,101943F8,f,
GUI_SendKeyMsg,10194400,f,
GUI_PollKeyMsg,10194408,f,
GUI_SetKeyMsgHook,10194410,f,
GUI_GetKey,10194418,f,
GUI_WaitKey,10194420,f,
GUI_StoreKey,10194428,f,
GUI_ClearKeyBuffer,10194430,f,
GUI_WaitEvent,10194438,f,
GUI_PID_StoreState,10194440,f,
GUI_PID_GetState,10194448,f,
GUI_MOUSE_GetState,10194450,f,
GUI_MOUSE_StoreState,10194458,f,
GUI_TOUCH_GetState,10194460,f,
GUI_TOUCH_GetUnstable,10194468,f,
GUI_TOUCH_StoreState,10194470,f,
GUI_TOUCH_StoreStateEx,10194478,f,
GUI_TOUCH_StoreUnstable,10194480,f,
GUI_MOUSE_DRIVER_PS2_Init,10194488,f,
GUI_MOUSE_DRIVER_PS2_OnRx,10194490,f,
GUI_X_ExecIdle,10194498,f,
GUI_ClearKeyMsg,101944A0,f,
LCD_SetPixelIndex,101944A8,f,
LCD_Color2Index,101944B0,f,
GUI_Lock,101944B8,f,
GUI_Unlock,101944C0,f,
GUI_ARRAY_AddItem,101944C8,f,
GUI_ARRAY_Delete,101944D0,f,
GUI_ARRAY_GethItem,101944D8,f,
GUI_ARRAY_GetNumItems,101944E0,f,
GUI_ARRAY_GetpItem,101944E8,f,
GUI_ARRAY_SethItem,101944F0,f,
GUI_ARRAY_DeleteItem,101944F8,f,
GUI_ARRAY_InsertBlankItem,10194500,f,
GUI_ARRAY_InsertItem,10194508,f,
GUI_ARRAY_ResizeItem,10194510,f,
WM_SetUserClipRect,10194518,f,
WM_CreateWindow,10194520,f,
WM_SetFocus,10194528,f,
WM_DeleteWindow,10194530,f,
WM_DefaultProc,10194538,f,
WM_InvalidateRect,10194540,f,
WM_InvalidateWindow,10194548,f,
WM_GetWindowSizeX,10194550,f,
WM_GetWindowSizeY,10194558,f,
WM_GetWindowRectEx,10194560,f,
WM_GetWindowRect,10194568,f,
WM_GetParent,10194570,f,
WM_SendMessage,10194578,f,
WM_CheckScrollBounds,10194580,f,
WM_GetDialogItem,10194588,f,
WM_SetScrollValue,10194590,f,
WM_NotifyParent,10194598,f,
WM_SetScrollbarV,101945A0,f,
WM_SetScrollbarH,101945A8,f,
WM_GetScrollbarV,101945B0,f,
WM_GetScrollbarH,101945B8,f,
WM_GetScrollState,101945C0,f,
WM_Paint,101945C8,f,
WM_CreateWindowAsChild,101945D0,f,
WM_SelectWindow,101945D8,f,
WM__InitIVRSearch,101945E0,f,
WM__GetNextIVR,101945E8,f,
SCROLLBAR_GetDefaultWidth,101945F0,f,
SCROLLBAR_SetWidth,101945F8,f,
WIDGET__Init,10194600,f,
WideCharToMultiBytes,10194608,f,
GUI__memset,10194610,f,
GUI_DrawPixel_ToDC,10194618,f,
GUI_ExecCreatedDialog,10194620,f,
GUI_EndDialog,10194628,f,
WM_HideWindow,10194630,f,
WM_ShowWindow,10194638,f,
WM_GetFocus,10194640,f,
WM_SEND_MSG_TO_ACTIVE,10194648,f,
WM_CLEAR_MSG_STACK,10194650,f,
WM_Post_Message,10194658,f,
BMF_SetLcdFramePtr,10194660,f,
towupper,10194668,f,
towlower,10194670,f,
toupper,10194678,f,
tolower,10194680,f,
isupper,10194688,f,
islower,10194690,f,
iswlower,10194698,f,
iswupper,101946A0,f,
isdigit,101946A8,f,
iswdigit,101946B0,f,
lcd_get_frame,101946B8,f,
lcd_set_frame,101946C0,f,
get_lcd_width,101946C8,f,
get_lcd_height,101946D0,f,
LCDSetFBBit,101946D8,f,
LCDFlushFB,101946E0,f,
LCDGetFB,101946E8,f,
LCDBlendFB,101946F0,f,
LCDGetWidth,101946F8,f,
LCDGetHeight,10194700,f,
LCDEnableDoubleFB,10194708,f,
LCDDisableDoubleFB,10194710,f,
LCDIsDoubleFBEnabled,10194718,f,
LCDInit,10194720,f,
LCDYUVDraw,10194728,f,
LCDYUVDrawEx,10194730,f,
LCDSetFBFormat,10194738,f,
LCDGetFBFormat,10194740,f,
LCDSetRefreshRate,10194748,f,
LCDGetRefreshRate,10194750,f,
LCDSetBrightness,10194758,f,
VPUInitVideo,10194760,f,
LCD_Reg_resume,10194768,f,
ReloadLogo,10194770,f,
ReleaseLogo,10194778,f,
SetPVUBuffer,10194780,f,
ReloadLogo_Full_Scrren,10194788,f,
ReLoadLogo_Full_Screen_From_Pic_Disp,10194790,f,
create_rgb_ycc_table,10194798,f,
LCD_FB0_Zoom,101947A0,f,
LCDFlushFBZoom,101947A8,f,
consoleGetc,101947B0,f,
av_open,101947B8,f,
av_close,101947C0,f,
av_ioctl,101947C8,f,
av_manager_init,101947D0,f,
av_manager_done,101947D8,f,
av_get_info,101947E0,f,
av_get_last_error,101947E8,f,
video_play_init,101947F0,f,
audio_play_init,101947F8,f,
audio_play_task,10194800,f,
av_create_sem,10194808,f,
av_begin_thread,10194810,f,
vpu_config_reg_lcd_800x480,10194818,f,
av_wo_destroy,10194820,f,
av_wo_write,10194828,f,
av_wo_create,10194830,f,
wavaopen,10194838,f,
waveioc,10194840,f,
waveclose,10194848,f,
SYSSetUserVolSetting,10194850,f,
SYSSetSpeakerDefaultStatus,10194858,f,
SYSSetTone,10194860,f,
PMSetMode,10194868,f,ccpmp.bin
PMGetMode,10194870,f,
SYSGetBatteryVoltage,10194878,f,
DBGDumpOSHeapInfo,10194880,f,
DBGDumpAPHeapInfo,10194888,f,
heap_trace_start,10194890,f,
heap_trace_stop,10194898,f,
usb_connect,101948A0,f,
usb_disconnect,101948A8,f,
check_charge_in,101948B0,f,
udc_flush,101948B8,f,
get_udc_attached_flag,101948C0,f,
SYSSetVolume,101948C8,f,
SYSGetVolume,101948D0,f,
iv_res_init,101948D8,f,
iv_res_uninit,101948E0,f,
iv_res_read,101948E8,f,
ivTTS_Exit,101948F0,f,
ivTTS_Run,101948F8,f,
ivTTS_SetParam,10194900,f,
ivTTS_Destroy,10194908,f,
ivTTS_Create,10194910,f,
GL_SetCPU,10194918,f,
LCDFBMode,10194920,f,
SysLcdClear,10194928,f,
TaskMediaFunStop,0,f,
cmGetSysModel,0,f,
cmGetSysVersion,0,f,
GemeiEmu_putc,0,emu,
GemeiEmu_panic,0,emu,
